UDID,Headline_Alt,Chunk_ID,Chunk_Token_Count,Chunk_Text,Chunk_Embedding,Chunk_Context_Prepend
C1019,IP STRATEGY ,C1019_05,73,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP.
### What are the possible outcomes?

Developing a comprehensive IP strategy may not immediately yield a tangible outcome. This option involves preparation and implementation of preventative measures.",,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP."
C1019,IP STRATEGY ,C1019_06,145,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP.
### What might the costs be?

Creating an IP strategy in-house can be free apart from staff time. For example, it may take a few days to compile an inventory and action list. Engaging an IP professional such as IP lawyers, IP attorneys, or IP commercialisation experts for a tailored plan would involve professional fees, which may vary depending on the scale and complexity of the plan.  

Ongoing costs, however, relate mainly to the protection steps you choose, such as renewal fees or monitoring services.",,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP."
C1019,IP STRATEGY ,C1019_07,114,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP.
### How much time might be involved?

Drafting a simple strategy may take around a day or two of focused work. More detailed plans that cover multiple IP types and overseas markets may take several weeks to months, especially if you seek professional advice. 

Also, consider reviewing the strategy at least annually, or whenever you launch new products or enter new markets.",,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP."
C1019,IP STRATEGY ,C1019_08,71,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP.
### How much is this used?

Developing and implementing a comprehensive IP strategy a common practice used by businesses that own or use multiple IP assets.",,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP."
C1019,IP STRATEGY ,C1019_09,73,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP.
### Who can use this?

* IP rights holders or authorised users managing IP assets.
* Anyone or businesses planning to use, develop or acquire IP assets.",,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP."
C1019,IP STRATEGY ,C1019_10,81,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP.
### Who's involved?

* The business owner or employee/s.
* Optional: IP professionals such as trade mark or patent attorneys.
* Optional: Business advisors or accountants assisting with commercial planning.",,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP."
C1019,IP STRATEGY ,C1019_11,158,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP.
### What do you need to proceed?

IP strategies can vary in its scope and complexity depending on a wide range of factors such as the number of IP assets involved, the size of your business and the composition of your IP portfolio. While businesses can take many different approaches in designing their IP strategies, a common starting point is conducting an [IP audit](https://ipfirstresponse.ipaustralia.gov.au/options/conduct-ip-audits-spot-gaps-reduce-risks-and-plan-next-steps) to create a clear register of IP assets owned and used by your business.",,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP."
C1019,IP STRATEGY ,C1019_12,219,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP.
### See also

* [Conduct IP audits to spot gaps, reduce risks and plan next-steps | IP Australia First Response](https://ipfirstresponse.ipaustralia.gov.au/options/conduct-ip-audits-spot-gaps-reduce-risks-and-plan-next-steps)
* [A step-by-step IP Strategy Checklist for SMEs](https://www.wipo.int/en/web/business/checklist)
* [Understanding intellectual property (IP) | IP Australia](https://www.ipaustralia.gov.au/understanding-ip)
* [Choosing the right IP tool | IP Australia](https://www.ipaustralia.gov.au/tools-and-research/business-resources/choosing-the-right-ip-tool)
* [Get professional assistance with your IP | IP Australia](https://www.ipaustralia.gov.au/understanding-ip/get-professional-assistance-with-your-ip)",,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP."
C1019,IP STRATEGY ,C1019_13,104,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP.
### Want to give us feedback?

Send us an [email](mailto:ipfirstresponse@ipaustralia.gov.au).\
Fill out our [feedback form](https://ipaustralia.au1.qualtrics.com/jfe/form/SV_6LKlgPWZqiheCiy).",,"DEVELOP A STRATEGY TO MANAGE YOUR IP
IP STRATEGY 
Develop a forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP."
101-2,Infringement 101,101-2_01,176,"Design infringement
Infringement 101
Design infringement can occur when someone uses a design that is identical or similar to a registered design without obtaining permission from the owner. In Australia, a registered design provides designers protection for up to 10 years. Importantly, the law does not require exact copying. If the overall visual impression of the suspected infringing design is substantially similar to the registered design, it may be considered infringemen
### What is design infringement?

Design infringement can occur when someone uses a design that is identical or similar to a registered design without obtaining permission from the owner.1 In Australia, a registered design provides designers protection for up to 10 years. Importantly, the law does not require exact copying. If the overall visual impression of the suspected infringing design is substantially similar to the registered design, it may be considered infringement.2",,"Design infringement
Infringement 101
Design infringement can occur when someone uses a design that is identical or similar to a registered design without obtaining permission from the owner. In Australia, a registered design provides designers protection for up to 10 years. Importantly, the law does not require exact copying. If the overall visual impression of the suspected infringing design is substantially similar to the registered design, it may be considered infringemen"
101-2,Infringement 101,101-2_02,474,"Design infringement
Infringement 101
Design infringement can occur when someone uses a design that is identical or similar to a registered design without obtaining permission from the owner. In Australia, a registered design provides designers protection for up to 10 years. Importantly, the law does not require exact copying. If the overall visual impression of the suspected infringing design is substantially similar to the registered design, it may be considered infringemen
### What do registered designs protect?

In Australia, new and distinctive designs are afforded protection with owners registering with IP Australia.3 A registered design protects the visual appearance of a product.4 The law protects visual features such as shape, configuration, pattern, or ornamentation.5 It does not protect how the product works or what it is made from.6 Designs are tied to physical products that have a tangible form.7 Products must also be manufactured or handmade and are produced on a commercial scale.8 For example, the shape of a bottle, the pattern on fabric, or the combined features of shape and patterns on furniture.

**Protecting a design involves a two-part process.** To gain the legal right to take action against someone who uses a design without permission, owners must first register and then certify it with IP Australia. In Australia, this two-part process to apply for a design right is crucial to enforce the right against another person. See more information here '[How to apply for a design right](https://www.ipaustralia.gov.au/design-rights/how-to-apply-for-a-design-right) '.

When it comes to design infringement, it is essential to understand what a registered design protects. 

**Designs are tied to specific products**. Designs are registered for a particular product (like ""a chair"" or ""a bottle""). Protection only covers the appearance of that product. If someone uses the exact design on a completely different product, this may not be infringement. For example, a chair design is used as a pattern on a t-shirt.

**What is shown with the registered design is what is protected**. The images and descriptions of a registered design define what is protected. Registration not only protects the design but also designs that are substantially similar. However, it does not protect every possible variation. Additionally, if a unique feature is not clearly shown or described, it may not be protected.",,"Design infringement
Infringement 101
Design infringement can occur when someone uses a design that is identical or similar to a registered design without obtaining permission from the owner. In Australia, a registered design provides designers protection for up to 10 years. Importantly, the law does not require exact copying. If the overall visual impression of the suspected infringing design is substantially similar to the registered design, it may be considered infringemen"
101-2,Infringement 101,101-2_03,588,"Design infringement
Infringement 101
Design infringement can occur when someone uses a design that is identical or similar to a registered design without obtaining permission from the owner. In Australia, a registered design provides designers protection for up to 10 years. Importantly, the law does not require exact copying. If the overall visual impression of the suspected infringing design is substantially similar to the registered design, it may be considered infringemen
### How does design infringement happen?

Where a design is registered and certified with IP Australia, the following combined events may constitute infringement, provided they occur during the term of protection and without the permission of the owner:

**1. Someone****uses****the design**

Australian law gives designers exclusive control over their registered designs.9 Infringement occurs when a person uses a design that closely resembles a registered design in a way that only the owner is allowed to do so and without permission.10 Someone uses a design when:

* Making or offering to make a product with the design11
* Importing a product with the design for sale or business use12
* Selling, hiring, or disposing of a product with the design13
* Using a product with the design for business purposes14
* Keeping a product with the design for sale or business use.15

**2. Someone uses a design that is similar to a registered design**

Infringement occurs when someone uses a design that looks too similar to a registered design. When looking at possible infringement, courts compare the registered design with the suspected infringing design.16 This comparison requires consideration of multiple factors. They consider:

* **The overall look**. Does the infringing design give the same overall impression as the registered design?17
* **Focus on similarities between the designs.** Attention is paid to what is similar than what is different.18
* **What a familiar person would think**. A familiar person is someone who is familiar with the product and similar products.19 They consider whether someone familiar with these types of products thinks they look too similar.
* **The field for prior designs.** If the registered design is more innovative and distinct from existing designs, common features between the design and the infringing design would support a finding of infringement. On the other hand, if the registered design is only slightly different from existing designs, small differences between the registered design and the infringing design support a finding of no infringement.20
* **Common features**. Features that are common in many similar products are given less importance.21
* **Design options**. Courts will consider how many different ways a designer could create a design for the product.22
* **Statement of Newness and Distinctiveness**. A registered design can include a statement that highlights the new and distinctive aspects of a design, helping to focus protection on crucial elements. Comparisons between designs will then focus on these features.23",,"Design infringement
Infringement 101
Design infringement can occur when someone uses a design that is identical or similar to a registered design without obtaining permission from the owner. In Australia, a registered design provides designers protection for up to 10 years. Importantly, the law does not require exact copying. If the overall visual impression of the suspected infringing design is substantially similar to the registered design, it may be considered infringemen"
101-2,Infringement 101,101-2_04,354,"Design infringement
Infringement 101
Design infringement can occur when someone uses a design that is identical or similar to a registered design without obtaining permission from the owner. In Australia, a registered design provides designers protection for up to 10 years. Importantly, the law does not require exact copying. If the overall visual impression of the suspected infringing design is substantially similar to the registered design, it may be considered infringemen
### Examples of design infringement

![Three lines drawings of different chairs.](/sites/default/files/images/2025-08/Designs%20Example%20Chairs.png)

**For example,** a furniture company registers a design for a distinctive chair *(Chair A)* with a unique curved backrest and armrests that flow into the seat in one continuous line. 

*Might be an infringement*: Another company makes a chair *(Chair B)* with the same flowing lines from armrests to seat, differing only in size and materials.

*Probably not infringement*: Another company makes a chair *(Chair C)* with a similar seat but completely different backrest and arms. 

![Three line drawings of distinctive bottles.](/sites/default/files/images/2025-08/Designs%20Example%20Bottles.png)

**For example,** a soft drink company registers a design for a bottle *(Bottle A)* with a distinctive hourglass shape and textured surface. 

*Might be infringement*: A competitor makes a bottle *(Bottle B)* with a very similar hourglass shape and a slightly different but recognisably similar texture. 

*Probably not infringement*: A competitor makes a bottle *(Bottle C)* with a completely different shape but uses a texture that is somewhat similar.",,"Design infringement
Infringement 101
Design infringement can occur when someone uses a design that is identical or similar to a registered design without obtaining permission from the owner. In Australia, a registered design provides designers protection for up to 10 years. Importantly, the law does not require exact copying. If the overall visual impression of the suspected infringing design is substantially similar to the registered design, it may be considered infringemen"
