UDID,canonical url,Overtitle,Main Title,Description,Entry Point,Relevant IP right,Estimate Cost,Estimated Effort,Resolution Rate,Archectype 
C1005,https://ipfirstresponse.ipaustralia.gov.au/options/conduct-ip-audits-spot-gaps-reduce-risks-and-plan-next-steps,IP Audit,"CONDUCT IP AUDITS TO SPOT GAPS, REDUCE RISKS AND PLAN NEXT STEPS","Identify IP in your portfolio, who owns it, what it’s worth, it’s legal status, and what to do next.","""Proactive""","""Any dispute""","Free, plus optional professional fees",Days to weeks,Not applicable,Self-Help Strategy
D1021,https://ipfirstresponse.ipaustralia.gov.au/options/trade-mark-revocation,Trade mark registration revocation,Remove a trade mark from the register,Let IP Australia know a recently registered trade mark should not have been registered,"""Enforcement"", ""Accused"", ""Proactive""","""Trade mark"", ""Unregistered-tm""","Free, plus optional professional fees",Days (to request),Revocation of registration is very rare,Government Service
C1006,https://ipfirstresponse.ipaustralia.gov.au/options/help-customers-differentiate-between-your-products-and-lookalikes,Educate your customers ,Help customers differentiate between your products and lookalikes  ,Build brand loyalty and reduce confusion by clearly explaining what makes your product genuine. ,"""Proactive""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
C1007,https://ipfirstresponse.ipaustralia.gov.au/options/explore-opportunities-licensing-your-ip,IP Licensing,Explore opportunities by licensing  your IP,Consider licensing your IP to others or obtaining a licence for contested IP to avoid disputes and add value.,"""Proactive""","""Trade mark"", ""Design"", ""PBR"", ""Copyright"", ""Patent""","$1,500-5,000",Days to weeks,Variable,Self-Help Strategy
C1020,https://ipfirstresponse.ipaustralia.gov.au/options/check-your-product-against-existing-designs,Designs search,Check your design against existing designs ,Conduct a thorough search of existing registered designs - also known as Freedom to Operate search.,"""Proactive""","""Design""","Free, plus optional professional fees",Hours,Not applicable,Self-Help Strategy
C1009,https://ipfirstresponse.ipaustralia.gov.au/options/plan-how-ip-disputes-will-be-handled-contracts,Create Contact Clauses,Plan how IP disputes will be handled via contracts ,Create ready-to-use contract clauses that will proactively refer IP disputes to dispute resolution processes endorsed by the World Intellectual Property Organisation (WIPO). ,"""Proactive""","""Trade mark"", ""Design"", ""PBR"", ""Copyright"", ""Patent""",Free,Hours,"In 2024, WIPO AMC helped resolve 858 intellectual property (IP) disputes.  ",Non-Government Third-Party Authority
D1067,https://ipfirstresponse.ipaustralia.gov.au/options/prevent-patent-under-examination-being-granted,Notification of prior art,Prevent a patent under examination from being granted,Submit a third-party notification of prior art (S27) to alert IP Australia to earlier work that may show a patent application lacks novelty or inventiveness and thus cannot be granted.,"""Proactive""","""Patent""",Free,Hours to weeks, S27 notices are rarely submitted to IP Australia.,Government Service
B1015,https://ipfirstresponse.ipaustralia.gov.au/options/assert-your-rights-response-accusation,Enforcing to defend ,"Assert your rights, as a response to an accusation  ","If you believe that you are genuinely in the right to retain your IP, gather evidence and defend your right to use it.","""Accused""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
D1015,https://ipfirstresponse.ipaustralia.gov.au/options/trade-mark-non-use,Trade mark non-use action,Remove a trade mark from the register,Request IP Australia removes an unused  trade mark from the register.,"""Enforcement"", ""Proactive""","""Trade mark""",350,Days (to file),Approx 1200 applications made to IP Australia per year,Government Service
D1005,https://ipfirstresponse.ipaustralia.gov.au/options/court-trade-marks,Court - Trade mark,"Seek binding, authoritative decisions",Escalate a wide range of trade mark matters to court,"""Enforcement""","""Trade mark"", ""Unregistered-tm""", $80k+ in legal fees,Years,Court decisions are binding although appeal is possible,Non-Government Third-Party Authority
C1011,https://ipfirstresponse.ipaustralia.gov.au/options/check-your-idea-against-existing-patents,Patent search,Check your idea against existing patents.,Conduct a thorough search of existing patents - also known as Freedom to Operate search.,"""Proactive"""," ""Patent""",Free or $2k-$7k in professional fees,Hours to weeks,Not applicable,Self-Help Strategy
D1030,https://ipfirstresponse.ipaustralia.gov.au/options/Interim_Injunction,Interim court injuction order,Seek a court order to prevent further damage while preparing for court.,Lodge an interim injunction order through court,"""Enforcement""","""Any dispute""", $100k+ in legal fees,Years,Matter will be resolved in court at later date,Non-Government Third-Party Authority
B1014,https://ipfirstresponse.ipaustralia.gov.au/options/reach-agreement-accusing-party,Negotiation,Reach an agreement with the accusing party,Negotiate a mutually acceptable commercial or financial resolution. ,"""Accused""","""Any dispute""",Variable legal fees,  Days to weeks,Over 90% of commercial disputes settle outside court or arbitration,Self-Help Strategy
D1022,https://ipfirstresponse.ipaustralia.gov.au/options/resolve-international-disputes,World IP Organisation (WIPO) ,Access international arbitration and mediation services,Seek dispute resolution through the WIPO Arbitration and Mediation Center,"""Enforcement""","""Trade mark"", ""Patent"", ""Design"", ""PBR"", ""Copyright"",  ""Unregistered-tm""","US$3k-$9k+, plus legal fees",Months,92% of users prefer this over litigation to resolve cross-border disputes,Non-Government Third-Party Authority
B1019,https://ipfirstresponse.ipaustralia.gov.au/options/challenge-registration-new-trade-mark-to-defend,Opposition process,Challenge the registration of a new trade mark to defend your right,Oppose a trade mark you’re accused of infringing before it becomes registered,"""Accused""","""Trade mark"", ""Unregistered-tm""","$650+, plus legal fees",  Months to years,  1-3% of trade marks are opposed,Government Service
B1020,https://ipfirstresponse.ipaustralia.gov.au/options/request-ip-australia-remove-unused-trade-mark-defend-your-right,Trade mark non-use action,Request IP Australia remove an unused trade mark to defend your right,Request IP Australia removes an unused  trade mark from the register.,"""Accused""","""Trade mark"", ""Unregistered-tm""",350,Days (to file),Approx 1200 applications made to IP Australia per year,Government Service
B1017,https://ipfirstresponse.ipaustralia.gov.au/options/request-ip-australia-confirms-registered-design-valid,Design certification ,Request IP Australia confirms a registered design is valid,Request IP Australia examines and certifies a registered design to secure full protection,"""Enforcement"", ""Accused"", ""Proactive""","""Design""",  $500  ,Hours (to request),Approximately 20% of designs are certified ,Government Service
D1014,https://ipfirstresponse.ipaustralia.gov.au/options/ADR,Alternative dispute resolution (ADR) ,resolve conflicts with the help of experienced facilitators  ,Understand more about the options in the ADR space.,"""Enforcement"", ""Accused""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Commercial Third Party Service
D1003,https://ipfirstresponse.ipaustralia.gov.au/options/ASBFEO,ASBFEO,Access help tailored to resolve business disputes,Australia Small Business & Family Enterprise Ombudsman (ASBFEO),"""Enforcement"", ""Accused""","""Any dispute""",Free (dispute resolution costs extra),"
Days to weeks",Up to 80% of cases resolved with ASBFEO's help  ,Government Service
D1006,https://ipfirstresponse.ipaustralia.gov.au/options/mediation,Mediation ,Resolve IP issues with the help of a third party,Invite the other party to enter into mediation to agree to mutually acceptable agreement,"""Enforcement"", ""Accused""","""Any dispute""","$3k-$5k per day, plus optional legal fees",Weeks to months,Variable,Commercial Third Party Service
D1029,https://ipfirstresponse.ipaustralia.gov.au/options/arbitration,Arbitration ,Resolve IP issues with the help of a third party,Agree to be bound by the decision of a highly qualified third-party assessment,"""Enforcement""","""Any dispute""","$10k+, plus signficant legal fees",Months,Variable,Commercial Third Party Service
D1010,https://ipfirstresponse.ipaustralia.gov.au/options/demand-other-party-stops-infringing-writing,Letter of demand,Demand the other party stops infringing in writing,Send a letter to infringing party notifying them of potential infringement,"""Enforcement""","""Any dispute""","$1,500- $10,000 (with legal representation)",Days to weeks,40% of patent holders find it effective to stop copying,Commercial Third Party Service
D1033,https://ipfirstresponse.ipaustralia.gov.au/options/provide-opportunity-other-party-stop-infringing,Informal contact,Provide an opportunity for the other party to stop infringing.,Alert the alleged infringer of your registered rights to allow them to stop infringing,"""Enforcement""","""Any dispute""",Free,Days to weeks,Variable,Self-Help Strategy
C1012,https://ipfirstresponse.ipaustralia.gov.au/options/choosing-qualified-person-qp,Hiring a professional,CHOOSING A ‘QUALIFIED PERSON’ (QP) to conduct growing trials  ,Deciding who will conduct growing trials for your plant breeder’s rights application. ,"""Proactive""","""PBR""",Variable fees,Years,Required for all PBR applications,Commercial Third Party Service
D1028,https://ipfirstresponse.ipaustralia.gov.au/options/agree-formal-commercial-arrangement,Negotiation,Agree to a formal commercial arrangement,Work with an IP professional to come to an agreement with another party,"""Enforcement""","""Any dispute""",Variable legal fees,Days to weeks,Over 90% of commercial disputes settle outside court or arbitration,Self-Help Strategy
D1038,https://ipfirstresponse.ipaustralia.gov.au/options/notify-online-marketplaces-infringement-their-platform,eCommerce platform,Notify online marketplaces of infringement on their platform,Request infringing material is removed from online marketplaces and platforms,"""Enforcement""","""Trade mark"", ""Design"", ""PBR"", ""Copyright"", ""Patent""",Free,Hours,Variable,Commercial Third Party Service
B1016,https://ipfirstresponse.ipaustralia.gov.au/options/considerations-when-responding-international-accusations,International disputes,Considerations when responding to international accusations,Find the right assistance for responding to accusations of IP infringement happening outside of Australia. ,"""Accused""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
B1018,https://ipfirstresponse.ipaustralia.gov.au/options/oppose-ip-infringement-notice-online-marketplace,eCommerce platform,Oppose an IP infringement notice from an online marketplace ,Dispute an action that an eCommerce platform has taken against you,"""Accused""","""Any dispute""",Free,Hours to days,Variable,Commercial Third Party Service
C1013,https://ipfirstresponse.ipaustralia.gov.au/options/monitor-trade-mark-register-and-market-competitor-activity,Monitor Competitors ' IP,Monitor the trade mark register and market for competitor activity,Ensure the exclusivity of your trade mark by detecting potential conflicts early.,"""Proactive""","""Trade mark"", ""Unregistered-tm""","Free, plus optional professional fees",Hours to days,Common practice,Government Service
C1015,https://ipfirstresponse.ipaustralia.gov.au/options/apply-patent-protect-your-invention-being-copied,Apply for a patent,Apply for a patent to protect your invention from being copied , Prepare and submit formal patent applications to IP Australia to secure exclusive rights for your invention.,"""Proactive""","""Patent""","$400 to apply
$2,000-$10,000 in legal fees",Months,"Over 30,000 patents are filed annually in Australia. ",Government Service
D1057,https://ipfirstresponse.ipaustralia.gov.au/options/prevent-risks-public-interest,Report IP crime or safety concerns,Prevent risks to public interest,"Inform Government about risks to public health, crime, counterfeiting, frauds & scams.","""Enforcement""","""Any dispute""",Free,Hours to days,IP crimes are rarely prosecuted,Government Service
D1002,https://ipfirstresponse.ipaustralia.gov.au/options/stop-infringing-goods-entering-country,Notice of Objection,Stop infringing goods entering the country,Lodge a notice of objection with the Australian Border Force.,"""Enforcement"", ""Proactive""","""Trade mark"", ""Copyright""",Free to lodge,Hours (to apply),More than 500 trade mark notices are currently in force,Government Service
D1012,https://ipfirstresponse.ipaustralia.gov.au/options/obtain-legal-advice-enforcement-options,IP attorney or lawyer,Obtain legal advice on your enforcement options,"Seek a qualified & experienced professional to provide specific, tailored advice.","""Enforcement""","""Any dispute""","$500-$2,000 per hour",Weeks,Variable,Commercial Third Party Service
D1036,https://ipfirstresponse.ipaustralia.gov.au/options/enforce-your-ip-overseas,International disputes,Considerations before enforcing your IP overseas,Find the right assistance to enforce your IP right in the case of infringement happening outside of Australia. ,"""Enforcement""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
D1011,https://ipfirstresponse.ipaustralia.gov.au/options/choose-not-act-immediately,Guage the situation  ,Choose not to act immediately ,Strategically enforce your IP only when worthwhile,"""Enforcement""","""Any dispute""","Free, plus optional professional fees",Days,No data shown on card,Self-Help Strategy
D1001,https://ipfirstresponse.ipaustralia.gov.au/options/choose-rebrand-avoid-potential-ip-conflicts,Rebrand your business  ,Choose to rebrand to avoid potential IP conflicts,Strategically rebrand your business to avoid disputes.,"""Enforcement"", ""Accused""","""Trade mark"", ""Unregistered-tm""",Variable (based on brand value),Weeks,High,Self-Help Strategy
C1019,https://ipfirstresponse.ipaustralia.gov.au/options/develop-strategy-manage-your-ip,IP STRATEGY ,DEVELOP A STRATEGY TO MANAGE YOUR IP,"Develop a  forward-looking intellectual property (IP) strategy that may help you take proactive steps to secure, manage and enforce your IP.","""Proactive""","""Trade mark"", ""Patent"", ""Design"", ""PBR"", ""Copyright"",  ""Unregistered-tm""","Free, plus optional professional fees",Days to weeks,Common when multiple IP assets are held,Self-Help Strategy
D1013,https://ipfirstresponse.ipaustralia.gov.au/options/coverage-against-potential-future-costs-related-infringement,IP insurance,Coverage against potential future costs related to infringement,Protect yourself from some costs involved in IP disputes  ,"""Proactive""","""Trade mark"", ""Patent"", ""Design"", ""PBR"", ""Copyright""",Variable,Days,Variable,Self-Help Strategy
D1020,https://ipfirstresponse.ipaustralia.gov.au/options/other-ip-types,"Sorry, This information isn't available yet",Other IP Types,We cannot provide information on this right just yet,,"""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
D1004,https://ipfirstresponse.ipaustralia.gov.au/options/dispute-au-domain-name,Domain Name Dispute (auDRP),Dispute a domain name that infringes your trade mark,Dispute a .au domain name that may infringe an IP right,"""Enforcement"", ""Accused""","""Trade mark"", ""Copyright"""," $2,000+ per domain, plus optional legal fees",Weeks to months, 40-50% of cases end in licence transfer,Non-Government Third-Party Authority
D1024,https://ipfirstresponse.ipaustralia.gov.au/options/challenge-use-international-domain-name,Domain Name Dispute (UDRP),Challenge the use of international domain name,Dispute an international domain name that infringes your trade mark,"""Enforcement"", ""Accused""","""Trade mark"", ""Copyright""","US$1,500+ per domain, plus optional legal fees",  Weeks to months,Variable,Non-Government Third-Party Authority
D1039,https://ipfirstresponse.ipaustralia.gov.au/options/register-your-unregistered-trade-mark,Apply for a trade mark,Register your unregistered trade mark,Strengthen your position as the registered owner of your trade mark in Australia,"""Enforcement"", ""Proactive""","""Trade mark"", ""Unregistered-tm""",  $330 per class  ,Hours (to apply),Approximately 75% of trade mark applications achieve registration ,Government Service
D1040,https://ipfirstresponse.ipaustralia.gov.au/options/ask-your-suppliers-and-sellers-help-protect-your-ip,Support from your vendors,Ask your suppliers and sellers to help protect your IP ,Contact businesses you work with to raise concerns about suspected IP infringement and ask for their help preventing further infringement.,"""Enforcement""","""Any dispute""",Free,Days to weeks,Variable,Self-Help Strategy
B1021,https://ipfirstresponse.ipaustralia.gov.au/options/request-confirmation-someone-elses-registered-design-valid,Design certification ,Request confirmation that someone else's registered design is valid,Third-party examination lets any person request IP Australia to conduct a formal examination of a registered Australian design,"""Accused""","""Design""",500,Hours (to submit),  Approximately 20% of designs are certified ,Government Service
E1000,https://ipfirstresponse.ipaustralia.gov.au/options/what-ip-and-how-does-it-protect-me,Learn about IP,What is IP and how does it protect me?,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
E1001,https://ipfirstresponse.ipaustralia.gov.au/options/my-business-name-my-ip,Business names,Is my business name my IP?,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
E1002,https://ipfirstresponse.ipaustralia.gov.au/options/what-does-ip-protection-mean-my-business,Protecting your business,What IP protection means for my business ,IP protection means securing legal rights over the things your business creates…,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
E1003,https://ipfirstresponse.ipaustralia.gov.au/options/why-so-expensive,Costs of IP,Why is this so expensive?,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
E1004,https://ipfirstresponse.ipaustralia.gov.au/options/what-check-getting-registered-ip,Before applying,What to check before getting registered IP,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
E1005,https://ipfirstresponse.ipaustralia.gov.au/options/it-worth-registering-my-ip,Applying for IP,Is it worth registering my IP?,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
E1006,https://ipfirstresponse.ipaustralia.gov.au/options/discover-where-you-are-your-ip-journey,Using IP in business,Discover where you are in your IP journey,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
E1007,https://ipfirstresponse.ipaustralia.gov.au/options/check-if-someone-else-already-owns-word-logo-or-idea-you-want,Checking IP rights ,"check if someone else already owns a word, logo OR IDEA You WANT ",,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
E1008,https://ipfirstresponse.ipaustralia.gov.au/options/does-ip-help-me-make-or-save-money,Making money,Does IP help me to make or save money?,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
E1009,https://ipfirstresponse.ipaustralia.gov.au/options/can-i-buy-sell-or-license-ip,Selling or licensing,"Can I buy, sell or license IP?",,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
E1010,https://ipfirstresponse.ipaustralia.gov.au/options/what-do-i-do-if-someone-copies-my-stuff,IP disputes ,What do I do if someone copies my stuff?,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
E1011,https://ipfirstresponse.ipaustralia.gov.au/options/can-i-get-trouble-using-ip-not-mine,Using IP,Can I get in trouble for using IP that is not mine?,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
E1012,https://ipfirstresponse.ipaustralia.gov.au/options/i-am-not-happy-ip-australia-what-can-i-do,Complaints,I'm not happy with IP Australia - what can I do?,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Government Service
E1013,https://ipfirstresponse.ipaustralia.gov.au/options/how-can-i-make-complaint-about-lawyer-or-attorney,Complaints,How can I make a complaint about a lawyer or attorney?,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Commercial Third Party Service
E1014,https://ipfirstresponse.ipaustralia.gov.au/options/what-can-i-expect-lawyer-or-attorney,Getting legal help ,What can I expect from a lawyer or attorney?,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Commercial Third Party Service
E1015,https://ipfirstresponse.ipaustralia.gov.au/options/when-do-i-need-lawyer-or-attorney-deal-ip-issues,IP attorney or lawyer,When do I need a lawyer or attorney to deal with IP issues?,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Commercial Third Party Service
E1016,https://ipfirstresponse.ipaustralia.gov.au/options/how-can-i-deal-ip-issues-without-going-court,IP Disputes ,How can I deal with IP issues without going to court? ,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Non-Government Third-Party Authority
E1017,https://ipfirstresponse.ipaustralia.gov.au/options/what-can-i-do-if-i-disagree-ip-australias-examination-decision,Disagreements about registration,What are the ways to challenge a decision IP Australia has made?,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Government Service
E1018,https://ipfirstresponse.ipaustralia.gov.au/options/what-happens-ip-australia-hearing,IP Australia process,What happens in an IP Australia hearing?,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Government Service
E1019,https://ipfirstresponse.ipaustralia.gov.au/options/does-my-australian-ip-work-overseas,Australian IP overseas,Does my Australian ip work overseas? ,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
E1020,https://ipfirstresponse.ipaustralia.gov.au/options/can-i-protect-my-ideas-worldwide-ip-right,IP in other countries,Can I protect my ideas in other countries?,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
E1021,https://ipfirstresponse.ipaustralia.gov.au/options/there-global-ip-office,Global IP,Is there a global IP office?,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
E1022,https://ipfirstresponse.ipaustralia.gov.au/options/free-ip-tools-you-can-use,Free tools ,Free IP tools you can use ,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
E1025,https://ipfirstresponse.ipaustralia.gov.au/options/common-scams,,Common scams,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Self-Help Strategy
E1024,https://ipfirstresponse.ipaustralia.gov.au/options/how-does-ip-australia-compare-other-government-services,Protecting your business,How does IP Australia fit in a broader business support context?,,"""IP Basics""","""Any dispute""",No data shown on card,No data shown on card,No data shown on card,Government Service
D1084,https://ipfirstresponse.ipaustralia.gov.au/court-pbr,Court - PBR,"Seek binding, authoritative decisions",Escalate a wide range of PBR matters to court.,"""Enforcment""","""PBR""", $100k+ in legal fees,Years,Court decisions are binding although appeal is possible,Non-Government Third-Party Authority
D1087,https://ipfirstresponse.ipaustralia.gov.au/options/court-designs,Court - Designs,"Seek binding, authoritative decisions",Escalate a wide range of design rights matters to court.,"""Enforcment""","""Design""", $100k+ in legal fees,Years,Court decisions are binding although appeal is possible,Non-Government Third-Party Authority
D1080,https://ipfirstresponse.ipaustralia.gov.au/options/choosing-right-ip-professional,Hiring a professional,Choosing the right IP professional,"Different professionals offer different expertise. Find out who does what, how they can help, and what to consider when choosing someone for your situation.","""IP Basics""","""Trade mark"", ""Patent"", ""Design"", ""PBR"", ""Copyright"", ""Unregistered-tm""",No data shown on card,No data shown on card,No data shown on card,Commercial Third Party Service
